"pagos","gratis","carga.paga","carga.gratis","correio"
0,0,33059,0,0
0,0,0,0,0
0,0,0,0,0
0,0,11507,0,0
0,0,0,0,0
0,0,248305,0,0
0,0,125923,0,0
0,0,0,0,0
0,0,94216,0,0
0,0,802038,0,0
0,0,359390,0,0
0,0,835321,0,0
0,0,0,0,0
0,0,3587,0,0
0,0,25805,0,0
0,0,458466,0,0
0,0,0,0,0
0,0,173636,0,0
0,0,166805,0,0
0,0,915674,0,0
0,0,152892,0,0
0,0,811420,0,0
0,0,0,0,0
0,0,24578,0,0
0,0,43998,0,0
0,0,3463,0,0
0,0,0,0,0
0,0,15668,0,0
0,0,142138,0,0
0,0,330901,0,0
0,0,95516,0,0
0,0,769518,0,0
0,0,318184,0,0
0,0,735941,0,0
0,0,50417,0,0
0,0,0,0,0
0,0,1044,0,0
0,0,0,0,0
0,0,26535,0,0
0,0,57459,0,0
0,0,41145,0,0
0,0,51681,0,0
0,0,83316,0,0
0,0,1138222,0,0
0,0,383331,0,0
0,0,528176,0,0
0,0,326608,0,0
0,0,447175,0,0
0,0,0,0,0
0,0,24164,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,9847,0,0
0,0,0,0,0
0,0,98224,0,0
0,0,1106615,0,0
0,0,0,0,0
0,0,148603,0,0
0,0,153084,0,0
0,0,244858,0,0
0,0,254177,0,0
0,0,12067,0,0
0,0,0,0,0
0,0,29158,0,0
0,0,0,0,0
0,0,358832,0,0
0,0,951847,0,0
0,0,228084,0,0
0,0,288046,0,0
0,0,144277,0,0
0,0,22528,0,0
0,0,0,0,0
0,0,0,0,0
0,0,16464,0,0
0,0,0,0,0
0,0,551490,0,0
0,0,1182679,0,0
0,0,191057,0,0
0,0,152376,0,0
0,0,241038,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,7370,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
