"pagos","gratis","carga.paga","carga.gratis","correio"
9403,28,367373,0,6215
989,0,25573,0,168
2631,59,131727,0,0
7670,82,341862,0,0
9021,49,366999,168,7495
608,7,25961,0,750
378,1,17992,0,1001
3416,68,127736,0,0
7879,94,347672,0,0
10678,62,388454,0,6238
706,2,33614,0,0
8053,63,387711,434,2992
776,15,144506,40,0
6300,64,363507,152,2808
671,5,95813,51,0
5267,21,278294,881,2807
608,23,90484,591,0
0,0,541,0,0
0,0,12054,0,0
0,0,10462,0,0
237,1,21519,0,0
0,0,0,0,0
0,0,0,0,0
0,0,574368,0,0
0,0,0,0,0
0,0,0,0,0
0,0,607667,0,0
0,0,0,0,0
0,0,0,0,0
0,0,650939,0,0
0,0,0,0,0
0,0,0,0,0
0,0,29530,0,0
0,0,0,0,0
0,0,260318,0,0
0,0,318,0,0
0,0,316371,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,44959,0,0
0,0,296008,0,0
0,0,0,0,0
0,0,360523,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,10162,0,0
0,0,0,0,0
0,0,24571,0,0
0,0,0,0,0
0,0,319862,0,0
0,0,0,0,0
0,0,338984,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,71015,0,0
0,0,0,0,0
0,0,0,0,0
0,0,30741,0,0
0,0,341751,0,0
0,0,0,0,0
0,0,193294,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,131579,0,0
0,0,0,0,0
0,0,0,0,0
0,0,21155,0,0
0,0,282814,0,0
0,0,0,0,0
0,0,341426,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,26700,0,0
0,0,355125,0,0
0,0,0,0,0
0,0,508458,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,32996,0,0
0,0,0,0,0
0,0,0,0,0
0,0,291826,0,0
0,0,0,0,0
0,0,468353,0,0
0,0,19672,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,39299,0,0
0,0,0,0,0
0,0,61,0,0
0,0,0,0,0
0,0,26885,0,0
0,0,443453,0,0
0,0,0,0,0
0,0,292521,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,10012,0,0
0,0,325748,0,0
0,0,0,0,0
0,0,325311,0,0
0,0,86402,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,15089,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,6126,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,94111,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,60241,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,15728,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,161161,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,252459,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,96006,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,78049,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,54900,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,23427,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,79647,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6486,0,531635,0,12653
5237,0,345511,0,14798
8374,3,573067,0,19830
9954,0,576525,0,13630
10215,0,431903,0,21050
0,0,0,0,0
9761,0,578930,0,15128
9962,0,547281,0,21644
9999,0,628275,0,17159
9354,0,531044,0,17888
9162,1,562022,0,19904
8547,0,667905,0,27148
9919,0,618257,0,22946
10848,20,466606,0,0
11131,29,500028,0,5012
6193,39,120263,0,0
10496,60,384180,0,0
6094,27,169036,0,4176
9596,20,435640,152,7032
9527,73,391441,465,3617
5200,58,78881,250,0
9071,63,398706,1001,1798
5472,36,146753,0,2648
0,0,0,0,0
10951,37,511971,638,6899
10765,58,398721,208,5344
0,0,0,0,0
6336,80,172985,0,0
2337,23,82337,0,1141
10470,114,448594,1365,7697
6315,37,189317,0,4316
1603,16,30607,0,0
0,0,0,0,0
10899,42,419902,711,8782
10927,63,466557,443,5053
6208,35,91296,0,145
10873,59,519544,403,4131
9818,68,315807,1533,2556
6089,17,168682,197,3281
3503,33,14427,0,0
10889,1,409414,656,3234
11253,22,468194,888,2473
6366,19,77496,915,0
11110,28,294503,0,1794
9903,8,322770,1945,5471
6241,13,181930,146,1786
3271,3,37419,196,0
10479,50,339419,682,5955
12686,120,392589,496,5532
9542,43,67358,250,0
10603,90,203675,0,4063
9434,74,279568,1299,1776
5943,37,162488,8,3980
3633,39,23192,14,0
10479,56,387826,189,7368
11571,115,591216,1278,4137
9719,42,87216,0,0
9552,77,383381,3,3138
9379,91,250005,2360,3171
6245,36,190000,206,3656
6287,49,16575,87,0
10548,57,562646,1143,5104
13758,162,590527,453,4670
9872,67,183401,0,0
10765,80,494326,242,3501
9678,67,249162,1398,1915
6231,49,147556,109,4288
6304,53,57326,0,0
10312,59,480503,308,6805
11580,99,562614,319,2998
209,0,0,0,0
9624,40,222531,0,0
10010,119,549639,1,2780
9618,93,279155,1027,2096
5931,43,130664,43,2602
6108,64,63265,0,0
4233,108,55343,0,0
0,0,0,0,0
9917,69,441652,711,3998
10444,52,572476,610,5902
9440,85,173224,0,0
9156,75,478235,253,25841
8243,86,281283,1124,957
6002,37,132283,268,3838
5710,57,53627,0,0
4388,79,73969,0,0
8640,40,496252,516,5111
9446,64,493007,607,8471
8510,52,278819,0,0
8822,61,497262,228,9627
6958,90,367906,24441,7255
5254,36,155880,511,4157
4982,52,28305,70,0
4288,69,49592,0,0
0,0,0,0,0
9925,22,567691,105,5617
9915,56,449673,82,1385
6973,36,243298,0,0
9550,89,593186,95,7646
