"pagos","gratis","carga.paga","carga.gratis","correio"
3584,130,589,0,0
560,15,0,0,0
699,27,0,0,0
4246,131,390,0,0
2310,90,873,0,0
6519,306,1869,0,0
1897,27,156,0,0
22626,1713,20782,223,0
244,9,0,0,0
2345,46,170,0,0
4133,293,1295,0,0
2934,33,162,0,0
1504,21,43,0,0
2270,46,333,0,0
421,0,10,0,0
6707,118,610,0,0
5390,328,7761,68,0
469,0,0,0,0
445,0,0,0,0
421,1,0,0,0
1460,28,63,0,0
2104,35,183,0,0
507,17,869,0,0
3866,182,14869,8,0
7888,339,8173,90,0
4039,61,5262,0,0
5312,121,3001,209,0
43,3,0,0,0
2541,39,34,0,0
1141,18,6714,245,0
87,4,0,0,0
15,6,0,0,0
4320,52,4623,0,0
1012,37,1078,0,0
1517,51,246,0,0
58,0,0,0,0
3630,85,17950,129,0
238,6,0,0,0
2345,79,16022,0,0
25,3,0,0,0
173,4,0,0,0
2334,32,2862,0,0
14294,863,11112,24,0
7381,270,1028,1,0
99,7,0,0,0
2774,16,568,0,0
4849,258,532,0,0
2825,26,256,0,0
3108,86,335,0,0
